"oltp_read_write.lua"	600000	10	50	1	1	1	innodb	52428800	6291456	200M	2000
"oltp_read_write.lua"	600000	10	1	1	1	1	innodb	52428800	262144	200M	2000
"oltp_read_write.lua"	10	10	100	50	50	50	innodb	20971520	3145728	200M	2000
"oltp_read_write.lua"	200000	10	1	50	50	50	innodb	104857600	524288	200M	2000
"oltp_read_write.lua"	600000	10	1	100	100	100	innodb	20971520	1048576	200M	2000
"oltp_read_write.lua"	10	10	50	1	1	1	innodb	10485760	262144	200M	2000
"oltp_read_write.lua"	40000	10	1	100	100	100	innodb	5242880	1048576	200M	2000
"oltp_read_write.lua"	600000	10	100	1	1	1	innodb	52428800	262144	200M	2000
"oltp_read_write.lua"	10	10	100	50	50	50	innodb	10485760	2097152	200M	2000
"oltp_read_write.lua"	10	10	100	1	1	1	innodb	104857600	524288	200M	2000
"oltp_read_write.lua"	400000	10	1	1	1	1	innodb	52428800	262144	200M	2000
"oltp_read_write.lua"	600000	10	1	1	1	1	innodb	104857600	1048576	200M	2000
"oltp_read_write.lua"	1000000	10	100	100	100	100	innodb	5242880	3145728	200M	2000
"oltp_read_write.lua"	200000	10	100	50	50	50	innodb	52428800	1048576	200M	2000
"oltp_read_write.lua"	200000	10	50	50	50	50	innodb	5242880	3145728	200M	2000
"oltp_read_write.lua"	10	10	100	100	100	100	innodb	20971520	1048576	200M	2000
"oltp_read_write.lua"	200000	10	100	50	50	50	innodb	104857600	6291456	200M	2000
"oltp_read_write.lua"	600000	10	50	1	1	1	innodb	20971520	524288	200M	2000
"oltp_read_write.lua"	40000	10	50	1	1	1	innodb	52428800	6291456	200M	2000
"oltp_read_write.lua"	400000	10	1	100	100	100	innodb	104857600	3145728	200M	2000
"oltp_read_write.lua"	800000	10	100	1	1	1	innodb	104857600	1048576	200M	2000
"oltp_read_write.lua"	600000	10	100	100	100	100	innodb	5242880	3145728	200M	2000
"oltp_read_write.lua"	40000	10	50	1	1	1	innodb	52428800	2097152	200M	2000
"oltp_read_write.lua"	1000000	10	1	50	50	50	innodb	52428800	262144	200M	2000
"oltp_read_write.lua"	200000	10	50	1	1	1	innodb	10485760	6291456	200M	2000
"oltp_read_write.lua"	400000	10	100	1	1	1	innodb	104857600	3145728	200M	2000
"oltp_read_write.lua"	800000	10	50	1	1	1	innodb	52428800	524288	200M	2000
"oltp_read_write.lua"	1000000	10	1	100	100	100	innodb	104857600	6291456	200M	2000
"oltp_read_write.lua"	800000	10	1	50	50	50	innodb	5242880	3145728	200M	2000
"oltp_read_write.lua"	10	10	100	1	1	1	innodb	5242880	1048576	200M	2000
"oltp_read_write.lua"	800000	10	100	100	100	100	innodb	10485760	3145728	200M	2000
"oltp_read_write.lua"	40000	10	1	100	100	100	innodb	104857600	524288	200M	2000
"oltp_read_write.lua"	40000	10	100	100	100	100	innodb	104857600	3145728	200M	2000
"oltp_read_write.lua"	200000	10	1	50	50	50	innodb	104857600	2097152	200M	2000
"oltp_read_write.lua"	600000	10	100	100	100	100	innodb	20971520	2097152	200M	2000
"oltp_read_write.lua"	1000000	10	1	1	1	1	innodb	104857600	3145728	200M	2000
"oltp_read_write.lua"	1000000	10	100	100	100	100	innodb	20971520	1048576	200M	2000
"oltp_read_write.lua"	10	10	1	1	1	1	innodb	20971520	6291456	200M	2000
"oltp_read_write.lua"	800000	10	1	1	1	1	innodb	104857600	1048576	200M	2000
"oltp_read_write.lua"	400000	10	1	1	1	1	innodb	10485760	2097152	200M	2000
"oltp_read_write.lua"	800000	10	50	1	1	1	innodb	10485760	524288	200M	2000
"oltp_read_write.lua"	1000000	10	1	100	100	100	innodb	20971520	524288	200M	2000
"oltp_read_write.lua"	10	10	50	100	100	100	innodb	10485760	2097152	200M	2000
"oltp_read_write.lua"	1000000	10	100	50	50	50	innodb	104857600	262144	200M	2000
"oltp_read_write.lua"	800000	10	100	50	50	50	innodb	104857600	2097152	200M	2000
"oltp_read_write.lua"	400000	10	1	50	50	50	innodb	52428800	524288	200M	2000
"oltp_read_write.lua"	1000000	10	1	50	50	50	innodb	52428800	6291456	200M	2000
"oltp_read_write.lua"	800000	10	50	100	100	100	innodb	52428800	2097152	200M	2000
